UID,Account Type,Currency,Side,Amount,Fee,Time(UTC-04:00),Remark,Type
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-01-05 23:43:17,"LUNA AIRDROP 2ND BATCH ",Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-01-28 05:40:50,"LUNA Airdrop 3rd batch ",Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-02-23 05:13:14,"LUNA Airdrop 4th Batch ",Rewards
****0219,mainAccount,NXRA,Deposit,1500,0,2023-03-06 09:38:17,ALBT Token Swap To NXRA,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-03-23 03:45:52,LUNA Airdrop 5th Batch,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-04-25 07:04:14,LUNA Airdrop 6th Batch,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-05-24 06:55:40,LUNA Airdrop 7th Batch,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-06-25 04:20:30,LUNA AIRDROP 8TH BATCH,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-07-25 00:17:44,"LUNA Airdrop 9th batch ",Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-08-21 07:47:08,LUNA AIRDROP 10TH BATCH,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-09-25 02:41:38,LUNA AIRDROP - 11TH BATCH,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-10-25 04:44:56,LUNA AIRDROP 12 BATCH,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-11-23 06:17:03,LUNA AIRDROP 13RD BATCH,Rewards
****0219,mainAccount,LUNA,Deposit,2.33591442,0,2023-12-20 07:34:09,LUNA AIRDROP BATCH 14TH,Rewards
