UID,Account Type,Currency,Side,Amount,Fee,Time(UTC-04:00),Remark,Type
****0219,mainAccount,USDT,Deposit,164.57830875,0.32981625,2023-12-28 16:30:29,,Spot
****0219,mainAccount,PYR,Withdrawal,37.2445,0,2023-12-28 16:30:29,,Spot
****0219,mainAccount,PYR,Withdrawal,6,0,2023-12-28 16:30:29,,Spot
****0219,mainAccount,USDT,Deposit,164.559109725,0.329777775,2023-12-28 16:30:29,,Spot
****0219,mainAccount,USDT,Deposit,164.695636125,0.330051375,2023-12-28 16:30:29,,Spot
****0219,mainAccount,PYR,Withdrawal,74.489,0,2023-12-28 16:30:29,,Spot
****0219,mainAccount,PYR,Withdrawal,21.375,0,2023-12-28 16:30:29,,Spot
****0219,mainAccount,PYR,Withdrawal,21.375,0,2023-12-28 16:30:29,,Spot
****0219,mainAccount,USDT,Deposit,46.1926296,0.0925704,2023-12-28 16:30:29,,Spot
****0219,mainAccount,PYR,Withdrawal,21.375,0,2023-12-28 16:30:29,,Spot
****0219,mainAccount,USDT,Deposit,573.4514957058,1.1492013942,2023-12-28 16:30:29,,Spot
****0219,mainAccount,USDT,Deposit,286.7257478529,0.5746006971,2023-12-28 16:30:29,,Spot
****0219,mainAccount,USDT,Deposit,1298.0007,1.2993,2023-12-28 16:32:25,,Spot
****0219,mainAccount,VRA,Withdrawal,173240,0,2023-12-28 16:32:25,,Spot
****0219,mainAccount,TOKO,Withdrawal,2966.3317,0,2023-12-28 16:35:04,,Spot
****0219,mainAccount,TOKO,Withdrawal,20537.7965,0,2023-12-28 16:35:04,,Spot
****0219,mainAccount,USDT,Deposit,4.71619598364945,0.00472091690055,2023-12-28 16:35:04,,Spot
****0219,mainAccount,USDT,Deposit,32.65321722662025,0.03268590312975,2023-12-28 16:35:04,,Spot
****0219,mainAccount,PYR,Withdrawal,88,0,2023-12-28 16:35:08,,Spot
****0219,mainAccount,USDT,Deposit,677.4655536,1.3576464,2023-12-28 16:35:08,,Spot
****0219,mainAccount,PYR,Withdrawal,170.5513,0,2023-12-28 16:35:10,,Spot
****0219,mainAccount,PYR,Withdrawal,138,0,2023-12-28 16:35:10,,Spot
****0219,mainAccount,USDT,Deposit,1312.98444172386,2.63123134614,2023-12-28 16:35:10,,Spot
