UID,Account Type,Order ID,Order Time(UTC-04:00),Symbol,Side,Order Type,Order Price,Order Amount,Avg. Filled Price,Filled Amount,Filled Volume,Filled Volume (USDT),Filled Time(UTC-04:00),Fee,Fee Currency,Tax,Status
****0219,mainAccount,658ddae4b764da00074e8e7a,2023-12-28 16:30:28,PYR-USDT,SELL,LIMIT,7.7139,3949.9383,7.7139432063710969865,3949.9383,30469.59971487,30469.59971487,2023-12-28 17:06:13,60.93919942974,USDT,,deal
****0219,mainAccount,658ddb1cb764da00074f48ff,2023-12-28 16:31:24,NAKA-USDT,SELL,LIMIT,1.88246,996.1339,1.88246,996.1339,1875.182221394,1875.182221394,2023-12-28 16:52:16,3.750364442788,USDT,,deal
****0219,mainAccount,658ddb430b9c4b0007a0ced5,2023-12-28 16:32:03,VRA-USDT,SELL,LIMIT,0.0075,173240,0.0075,173240,1299.3,1299.3,2023-12-28 16:32:25,1.2993,USDT,,deal
****0219,mainAccount,658ddb60e0e1ab00073b8359,2023-12-28 16:32:32,UOS-USDT,SELL,LIMIT,0.20785,3260.6625,0.20785,3260.6625,677.728700625,677.728700625,2023-12-28 17:04:29,1.35545740125,USDT,,deal
****0219,mainAccount,658ddba1e0e1ab00073c3323,2023-12-28 16:33:37,RNDR-USDT,SELL,LIMIT,4.5713,344.7962,4.5713,344.7962,1576.16686906,1576.16686906,2023-12-28 16:37:24,3.15233373812,USDT,,deal
****0219,mainAccount,658ddbf8b98eb7000749fef7,2023-12-28 16:35:04,TOKO-USDT,SELL,LIMIT,0.0015915,145000,0.0015915,145000,230.7675,230.7675,2023-12-28 16:37:59,0.2307675,USDT,,deal
****0219,mainAccount,658ddc140b9c4b0007a30a5d,2023-12-28 16:35:32,EGLD-USDT,SELL,LIMIT,68.8,3,68.8,3,206.4,206.4,2023-12-28 16:35:38,0.2064,USDT,,deal
****0219,mainAccount,658ddc38b98eb700074ab06e,2023-12-28 16:36:08,AIOZ-USDT,SELL,LIMIT,0.12582,1500,0.126,1500,189,189,2023-12-28 16:36:08,0.378,USDT,,deal
****0219,mainAccount,658ddc53561ac200071e27e2,2023-12-28 16:36:35,SOUL-USDT,SELL,LIMIT,0.19042,563,0.19042,563,107.20646,107.20646,2023-12-28 17:55:30,0.10720646,USDT,,deal
****0219,mainAccount,658ddca1d76f360007888c0f,2023-12-28 16:37:53,KDA-USDT,SELL,MARKET,0,50,1.1962,50,59.81,59.81,2023-12-28 16:37:53,0.11962,USDT,,deal
****0219,mainAccount,658ddcdf5edc3d0007fc1270,2023-12-28 16:38:55,FLAME-USDT,SELL,MARKET,0,1000,0.052380207749,1000,52.380207749,52.380207749,2023-12-28 16:38:55,0.104760415498,USDT,,deal
****0219,mainAccount,658ddd093a6f2600072f9a1d,2023-12-28 16:39:37,IOI-USDT,SELL,MARKET,0,450,0.03320521570444444444,450,14.942347067,14.942347067,2023-12-28 16:39:37,0.029884694134,USDT,,deal
****0219,mainAccount,658ddc7d55645b00070c0876,2023-12-28 16:37:17,RFOX-USDT,SELL,LIMIT,0.015654,6797.1518,0.015654,6797.1518,106.4026142772,106.4026142772,2023-12-29 20:48:56,0.2128052285544,USDT,,deal
