UID,Account Type,Order ID,Order Time(UTC-04:00),Symbol,Side,Order Type,Order Price,Order Amount,Avg. Filled Price,Filled Amount,Filled Volume,Filled Volume (USDT),Filled Time(UTC-04:00),Fee,Fee Currency,Tax,Status
****0219,mainAccount,620bcbc8fec9a6000106b69a,2022-02-15 11:50:32,LYXE-USDT,SELL,LIMIT,16.97867,57.5613,16.97867,57.5613,977.314317471,,2022-02-15 11:52:16,0.977314317471,USDT,,deal
****0219,mainAccount,6274577274b0a900012033ac,2022-05-05 19:02:10,PYR-USDT,BUY,LIMIT,8.6,56.7638,8.6,56.7638,488.16868,,2022-05-05 20:52:42,0.97633736,USDT,,deal
****0219,mainAccount,6274577eefa6c900012a2c50,2022-05-05 19:02:22,PYR-USDT,BUY,LIMIT,8.0,30.4496,8.0,30.4496,243.5968,,2022-05-06 09:47:17,0.4871936,USDT,,deal
****0219,mainAccount,62745784d828f80001461903,2022-05-05 19:02:28,PYR-USDT,BUY,LIMIT,7.75,31.3062,7.75,31.3062,242.62305,,2022-05-08 13:20:35,0.4852461,USDT,,deal
****0219,mainAccount,619b994573c96c0001b22046,2021-11-22 09:21:09,PYR-USDT,BUY,LIMIT,26.74,934.9289,26.73999376459536,934.9289,24999.99295634,,2021-11-22 09:23:25,49.99998591268,USDT,,deal
****0219,mainAccount,619bc4def8998b000187af39,2021-11-22 12:27:10,PYR-USDT,BUY,LIMIT,27.4972,823.1002,27.4972,823.1002,22632.95081944,,2021-11-22 13:05:33,45.26590163888,USDT,,deal
****0219,mainAccount,619bd4e8fe8b0300019ce09d,2021-11-22 13:35:36,NAKA-USDT,BUY,LIMIT,4.2401,5316.4013,4.2401,544.6259,2309.26827859,,2021-11-22 14:03:47,4.61853655718,USDT,,part_deal
****0219,mainAccount,619bda491f92e1000194904f,2021-11-22 13:58:33,PYR-USDT,BUY,LIMIT,27.875,970.283,27.875,620.01746751,17282.98690684125,,2021-11-22 14:03:47,34.5659738136825,USDT,,part_deal
****0219,mainAccount,619bdb8e35ed8b0001c76b82,2021-11-22 14:03:58,PYR-USDT,BUY,LIMIT,28.0,1071.302,27.99999901197795,1071.302,29996.45494153,,2021-11-22 14:03:58,59.99290988306,USDT,,deal
****0219,mainAccount,619ce14f9b0abc0001246214,2021-11-23 08:40:47,IOI-USDT,BUY,LIMIT,4.0129,250.0,4.0129,250.0,1003.225,,2021-11-23 08:41:44,2.00645,USDT,,deal
****0219,mainAccount,619e37fc7d3abc0001cdf412,2021-11-24 09:02:52,LYXE-USDT,BUY,LIMIT,16.6,43.5613,16.6,43.5613,723.11758,,2021-11-24 09:03:14,0.72311758,USDT,,deal
****0219,mainAccount,619eb02a941915000172e115,2021-11-24 17:35:38,IOI-USDT,BUY,LIMIT,5.35,200.0,5.3499430198,200.0,1069.98860396,,2021-11-24 17:35:46,2.13997720792,USDT,,deal
****0219,mainAccount,619f26936573fc000159c4bd,2021-11-25 02:00:51,LYXE-USDT,BUY,LIMIT,18.28136,14.0,18.28136,14.0,255.93904,,2021-11-25 02:09:05,0.25593904,USDT,,deal
****0219,mainAccount,619ce9327040530001e38d57,2021-11-23 09:14:26,PYR-USDT,SELL,LIMIT,35.0,115.0,35.0,115.0,4025.0,,2021-11-25 23:46:59,8.05,USDT,,deal
****0219,mainAccount,61a0d83b7d3abc00012a7460,2021-11-26 08:51:07,AIOZ-USDT,BUY,LIMIT,0.7598,1500.0,0.7598,1500.0,1139.7,,2021-11-26 08:51:46,2.2794,USDT,,deal
****0219,mainAccount,619cddcf7040530001b8f634,2021-11-23 08:25:51,PYR-USDT,SELL,LIMIT,40.0,125.0,40.0,125.0,5000.0,,2021-11-26 14:13:59,10.0,USDT,,deal
****0219,mainAccount,61a14b0eee688b000190f03d,2021-11-26 17:01:02,QRDO-USDT,BUY,LIMIT,6.7999,1000.0,6.7999,1000.0,6799.9,,2021-11-26 17:09:00,13.5998,USDT,,deal
****0219,mainAccount,61a16ab15cd48000016e6ad7,2021-11-26 19:16:01,TOKO-USDT,BUY,LIMIT,0.07014,145000.0,0.07014,145000.0,10170.3,,2021-11-26 19:27:06,10.1703,USDT,,deal
****0219,mainAccount,61a22becfbade600016c722c,2021-11-27 09:00:28,SOUL-USDT,BUY,LIMIT,2.8957,63.0,2.8957,63.0,182.4291,,2021-11-27 09:00:28,0.1824291,USDT,,deal
****0219,mainAccount,61a241c19b0abc00017991ee,2021-11-27 10:33:37,PIVX-USDT,BUY,LIMIT,0.788,1300.0,0.788,1300.0,1024.4,,2021-11-27 10:53:38,1.0244,USDT,,deal
****0219,mainAccount,61a264797040530001903955,2021-11-27 13:01:45,FLAME-USDT,BUY,LIMIT,2.6942,1000.0,2.694,1000.0,2694.0,,2021-11-27 13:01:45,5.388,USDT,,deal
****0219,mainAccount,61a2669a14f46c0001c9e416,2021-11-27 13:10:50,SOUL-USDT,BUY,LIMIT,2.9782,500.0,2.9782,500.0,1489.1,,2021-11-27 13:14:22,1.4891,USDT,,deal
****0219,mainAccount,61a4e261ee688b0001288bdc,2021-11-29 10:23:29,VRA-USDT,BUY,LIMIT,0.05849142,173240.0,0.05849142,173240.0,10133.0536008,,2021-11-29 10:24:23,10.1330536008,USDT,,deal
****0219,mainAccount,61a4fbdbf7a6ad0001b8d62e,2021-11-29 12:12:11,RNDR-USDT,BUY,LIMIT,6.4519,344.7962,6.4519,344.7962,2224.59060278,,2021-11-29 12:13:07,4.44918120556,USDT,,deal
****0219,mainAccount,61a517297d3abc00016521cd,2021-11-29 14:08:41,QRDO-USDT,SELL,LIMIT,8.0,200.0,8.0,200.0,1600.0,,2021-12-01 15:46:54,3.2,USDT,,deal
****0219,mainAccount,61a8d0aac3130f0001f09f34,2021-12-02 09:56:58,ALBT-USDT,BUY,LIMIT,0.66733,1500.0,0.66733,1500.0,1000.995,,2021-12-02 10:23:06,2.00199,USDT,,deal
****0219,mainAccount,61a8fd5c292c1800010d3d29,2021-12-02 13:07:40,LUNA-USDT,BUY,LIMIT,64.6279,77.4,64.61562419043928,77.4,5001.24931234,,2021-12-02 13:07:40,5.00124931234,USDT,,deal
